fname	inst_name	time	from_to	item	amount
504000solu.dat	504000	67->68	2->10	(109,	vid)	10765.53
504000solu.dat	504000	67->68	3->10	(108,	vid)	10995.93
504000solu.dat	504000	67->68	4->10	(103,	vid)	10999.33
504000solu.dat	504000	67->68	5->9	(121,	vid)	6666.68
504000solu.dat	504000	67->68	6->10	(113,	vid)	11111.13
504000solu.dat	504000	67->68	6->10	(114,	vid)	10767.23
504000solu.dat	504000	67->68	7->10	(102,	vid)	10995.93
504000solu.dat	504000	67->68	8->9	(108,	pic)	1.7
504000solu.dat	504000	67->68	8->9	(108,	vid)	115.2
504000solu.dat	504000	67->68	8->9	(109,	pic)	1.7
504000solu.dat	504000	67->68	8->9	(109,	vid)	345.6
504000solu.dat	504000	67->68	8->9	(114,	pic)	1.7
504000solu.dat	504000	67->68	8->9	(114,	vid)	343.9
504000solu.dat	504000	67->68	8->9	(115,	pic)	1.7
504000solu.dat	504000	67->68	8->10	(102,	pic)	1.7
504000solu.dat	504000	67->68	8->10	(102,	vid)	115.2
504000solu.dat	504000	67->68	8->10	(103,	pic)	1.7
504000solu.dat	504000	67->68	8->10	(103,	vid)	111.8
504000solu.dat	504000	67->68	8->10	(113,	pic)	1.7
504000solu.dat	504000	67->68	8->10	(118,	pic)	1.7
504000solu.dat	504000	67->68	8->10	(118,	vid)	230.4
504000solu.dat	504000	67->68	8->10	(121,	pic)	1.7
504000solu.dat	504000	67->68	8->10	(121,	vid)	115.2
295000solu.dat	295000	0->1	102->5	(102,	pic)	1.7
295000solu.dat	295000	0->1	102->5	(102,	vid)	2222.23
295000solu.dat	295000	0->1	111->5	(111,	vid)	2222.23
295000solu.dat	295000	0->1	113->2	(113,	pic)	1.7
295000solu.dat	295000	1->2	111->5	(111,	vid)	2222.23
295000solu.dat	295000	1->2	113->2	(113,	vid)	2222.23
295000solu.dat	295000	1->2	2->8	(113,	pic)	1.7
295000solu.dat	295000	1->2	5->8	(102,	pic)	1.7
295000solu.dat	295000	2->3	113->2	(113,	vid)	2222.23
295000solu.dat	295000	2->3	5->8	(111,	vid)	115.2
295000solu.dat	295000	3->4	5->8	(111,	vid)	115.2
295000solu.dat	295000	4->5	5->8	(111,	vid)	115.2
295000solu.dat	295000	5->6	5->8	(111,	vid)	115.2
295000solu.dat	295000	6->7	5->8	(111,	vid)	115.2
295000solu.dat	295000	7->8	111->5	(111,	pic)	1.7
295000solu.dat	295000	7->8	5->8	(111,	vid)	115.2
295000solu.dat	295000	8->9	113->2	(113,	vid)	2222.23
295000solu.dat	295000	8->9	5->8	(111,	vid)	115.2
295000solu.dat	295000	9->10	113->2	(113,	vid)	2222.23
295000solu.dat	295000	9->10	5->8	(111,	vid)	115.2
295000solu.dat	295000	10->11	5->8	(102,	vid)	115.2
295000solu.dat	295000	11->12	5->8	(111,	vid)	115.2
295000solu.dat	295000	12->13	5->8	(102,	vid)	115.2
295000solu.dat	295000	13->14	102->5	(102,	vid)	2222.23
295000solu.dat	295000	13->14	5->8	(102,	vid)	115.2
295000solu.dat	295000	14->15	102->5	(102,	vid)	2222.23
295000solu.dat	295000	14->15	5->8	(111,	vid)	115.2
295000solu.dat	295000	15->16	5->8	(102,	vid)	115.2
295000solu.dat	295000	16->17	5->8	(102,	vid)	115.2
295000solu.dat	295000	17->18	5->8	(111,	vid)	115.2
295000solu.dat	295000	18->19	5->8	(111,	vid)	115.2
295000solu.dat	295000	19->20	5->8	(111,	vid)	115.2
295000solu.dat	295000	20->21	113->2	(113,	vid)	2222.23
295000solu.dat	295000	20->21	5->8	(102,	vid)	115.2
295000solu.dat	295000	21->22	5->8	(102,	vid)	115.2
295000solu.dat	295000	22->23	2->8	(113,	vid)	115.2
295000solu.dat	295000	23->24	5->8	(111,	vid)	115.2
295000solu.dat	295000	24->25	5->8	(102,	vid)	115.2
295000solu.dat	295000	25->26	5->8	(102,	vid)	115.2
295000solu.dat	295000	26->27	5->8	(102,	vid)	113.5
295000solu.dat	295000	26->27	5->8	(111,	pic)	1.7
295000solu.dat	295000	27->28	5->8	(102,	vid)	115.2
295000solu.dat	295000	28->29	5->8	(111,	vid)	115.2
295000solu.dat	295000	30->31	5->8	(111,	vid)	115.2
295000solu.dat	295000	31->32	5->8	(111,	vid)	115.2
295000solu.dat	295000	32->33	5->8	(102,	vid)	115.2
295000solu.dat	295000	33->34	5->8	(111,	vid)	115.2
295000solu.dat	295000	35->36	5->8	(102,	vid)	115.2
295000solu.dat	295000	36->37	2->8	(113,	vid)	115.2
295000solu.dat	295000	37->38	5->8	(111,	vid)	115.2
295000solu.dat	295000	38->39	5->8	(111,	vid)	115.2
295000solu.dat	295000	39->40	5->8	(102,	vid)	115.2
295000solu.dat	295000	41->42	2->8	(113,	vid)	115.2
295000solu.dat	295000	42->43	5->8	(102,	vid)	115.2
295000solu.dat	295000	43->44	2->8	(113,	vid)	115.2
295000solu.dat	295000	44->45	5->8	(102,	vid)	115.2
295000solu.dat	295000	46->47	5->8	(111,	vid)	115.2
295000solu.dat	295000	47->48	5->8	(111,	vid)	115.2
295000solu.dat	295000	48->49	5->8	(111,	vid)	115.2
295000solu.dat	295000	49->50	2->8	(113,	vid)	115.2
295000solu.dat	295000	50->51	5->8	(111,	vid)	115.2
295000solu.dat	295000	51->52	2->8	(113,	vid)	115.2
295000solu.dat	295000	52->53	5->8	(102,	vid)	48.35
295000solu.dat	295000	52->53	5->8	(111,	vid)	66.85
295000solu.dat	295000	53->54	5->8	(102,	vid)	115.2
295000solu.dat	295000	55->56	5->8	(102,	vid)	115.2
295000solu.dat	295000	56->57	5->8	(111,	vid)	115.2
295000solu.dat	295000	57->58	5->8	(111,	vid)	115.2
295000solu.dat	295000	58->59	5->8	(102,	vid)	115.2
295000solu.dat	295000	59->60	5->8	(111,	vid)	115.2
295000solu.dat	295000	60->61	5->8	(111,	vid)	115.2
295000solu.dat	295000	61->62	5->8	(111,	vid)	115.2
295000solu.dat	295000	62->63	5->8	(102,	vid)	115.2
295000solu.dat	295000	63->64	5->8	(102,	vid)	115.2
295000solu.dat	295000	64->65	5->8	(102,	vid)	115.2
295000solu.dat	295000	65->66	5->8	(111,	vid)	115.2
295000solu.dat	295000	66->67	5->8	(111,	vid)	115.2
295000solu.dat	295000	67->68	5->8	(111,	vid)	115.2
295000solu.dat	295000	68->69	5->8	(111,	vid)	115.2
295000solu.dat	295000	69->70	5->8	(102,	vid)	115.2
295000solu.dat	295000	70->71	5->8	(102,	vid)	115.2
295000solu.dat	295000	71->72	5->8	(102,	vid)	115.2
295000solu.dat	295000	72->73	5->8	(111,	vid)	115.2
295000solu.dat	295000	73->74	5->8	(102,	vid)	115.2
295000solu.dat	295000	74->75	5->8	(111,	vid)	115.2
295000solu.dat	295000	75->76	5->8	(111,	vid)	115.2
295000solu.dat	295000	76->77	5->8	(111,	vid)	115.2
295000solu.dat	295000	77->78	5->8	(102,	vid)	115.2
295000solu.dat	295000	78->79	5->8	(111,	vid)	115.2
295000solu.dat	295000	79->80	102->5	(102,	vid)	2222.23
295000solu.dat	295000	79->80	111->5	(111,	vid)	2222.23
295000solu.dat	295000	79->80	5->8	(102,	vid)	115.2
295000solu.dat	295000	80->81	111->5	(111,	vid)	2222.23
295000solu.dat	295000	80->81	5->8	(102,	vid)	115.2
295000solu.dat	295000	81->82	102->5	(102,	vid)	2222.23
295000solu.dat	295000	81->82	5->8	(102,	vid)	115.2
295000solu.dat	295000	82->83	111->5	(111,	vid)	2222.23
295000solu.dat	295000	82->83	5->8	(111,	vid)	115.2
295000solu.dat	295000	83->84	2->8	(113,	vid)	115.2
295000solu.dat	295000	84->85	2->9	(113,	vid)	10304.73
295000solu.dat	295000	84->85	5->9	(102,	vid)	7608.49
295000solu.dat	295000	84->85	5->9	(111,	vid)	6551.48
295000solu.dat	295000	84->85	8->9	(102,	pic)	1.7
295000solu.dat	295000	84->85	8->9	(102,	vid)	3502.65
295000solu.dat	295000	84->85	8->9	(111,	pic)	1.7
295000solu.dat	295000	84->85	8->9	(111,	vid)	4559.65
295000solu.dat	295000	84->85	8->9	(113,	pic)	1.7
295000solu.dat	295000	84->85	8->9	(113,	vid)	806.4
644000solu.dat	644000	0->1	102->3	(102,	pic)	1.7
644000solu.dat	644000	0->1	102->3	(102,	vid)	2222.23
644000solu.dat	644000	0->1	108->1	(108,	pic)	1.7
644000solu.dat	644000	0->1	108->2	(108,	vid)	115.2
644000solu.dat	644000	1->2	1->5	(108,	pic)	1.7
